[Fast BWD] Enc Pos: 3906 | Revs: 505
[Fast BWD] Enc Pos: 4041 | Revs: 505
[Fast BWD] Enc Pos: 4173 | Revs: 505
[Fast BWD] Enc Pos: 4306 | Revs: 505
[Fast BWD] Enc Pos: 4438 | Revs: 505
[Fast BWD] Enc Pos: 4571 | Revs: 505
[Fast BWD] Enc Pos: 4704 | Revs: 505
[Fast BWD] Enc Pos: 4837 | Revs: 505
[Fast BWD] Enc Pos: 4971 | Revs: 506
[Fast BWD] Enc Pos: 5106 | Revs: 506
[Fast BWD] Enc Pos: 5240 | Revs: 506
[Fast BWD] Enc Pos: 5373 | Revs: 506
[Fast BWD] Enc Pos: 5506 | Revs: 506
[Fast BWD] Enc Pos: 5639 | Revs: 506
[Fast BWD] Enc Pos: 5773 | Revs: 506
[Fast BWD] Enc Pos: 5907 | Revs: 506
[Fast BWD] Enc Pos: 6040 | Revs: 506
[Fast BWD] Enc Pos: 6174 | Revs: 506
[Fast BWD] Enc Pos: 6308 | Revs: 506
[Fast BWD] Enc Pos: 6438 | Revs: 506
[Fast BWD] Enc Pos: 6569 | Revs: 506
[Fast BWD] Enc Pos: 6705 | Revs: 506
[Fast BWD] Enc Pos: 6838 | Revs: 506
[Fast BWD] Enc Pos: 6972 | Revs: 507
[Fast BWD] Enc Pos: 7107 | Revs: 507
[Fast BWD] Enc Pos: 7240 | Revs: 507
[Fast BWD] Enc Pos: 7374 | Revs: 507
[Fast BWD] Enc Pos: 7508 | Revs: 507
[Fast BWD] Enc Pos: 7641 | Revs: 507
[Fast BWD] Enc Pos: 7773 | Revs: 507
[Fast BWD] Enc Pos: 7906 | Revs: 507
[Fast BWD] Enc Pos: 8039 | Revs: 507
[Fast BWD] Enc Pos: 8173 | Revs: 507
[Fast BWD] Enc Pos: 8306 | Revs: 507
[Fast BWD] Enc Pos: 8438 | Revs: 507
[Fast BWD] Enc Pos: 8572 | Revs: 507
[Fast BWD] Enc Pos: 8706 | Revs: 507
[Fast BWD] Enc Pos: 8840 | Revs: 507
[Fast BWD] Enc Pos: 8972 | Revs: 508
[Slow FWD] Enc Pos: 9107 | Revs: 509
[Slow FWD] Enc Pos: 9106 | Revs: 509
[Slow FWD] Enc Pos: 9106 | Revs: 518
[Slow FWD] Enc Pos: 9107 | Revs: 520
[Slow FWD] Enc Pos: 9106 | Revs: 523
[Slow FWD] Enc Pos: 9106 | Revs: 531
[Slow FWD] Enc Pos: 9107 | Revs: 551
[Slow FWD] Enc Pos: 9106 | Revs: 567
[Slow FWD] Enc Pos: 9106 | Revs: 584
[Slow FWD] Enc Pos: 9107 | Revs: 605
[Slow FWD] Enc Pos: 9107 | Revs: 627
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 628
[Slow FWD] Enc Pos: 9106 | Revs: 634
[Slow FWD] Enc Pos: 9106 | Revs: 634
[Slow FWD] Enc Pos: 9106 | Revs: 634
[Slow FWD] Enc Pos: 9106 | Revs: 644
[Slow FWD] Enc Pos: 9107 | Revs: 652
[Slow FWD] Enc Pos: 9106 | Revs: 666
[Slow FWD] Enc Pos: 9106 | Revs: 666
[Slow FWD] Enc Pos: 9106 | Revs: 666
[Slow FWD] Enc Pos: 9106 | Revs: 666
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Slow FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9106 | Revs: 677
[Fast FWD] Enc Pos: 9107 | Revs: 677
[Fast FWD] Enc Pos: 9107 | Revs: 681
[Fast FWD] Enc Pos: 9106 | Revs: 682
[Fast FWD] Enc Pos: 9107 | Revs: 683
[Fast FWD] Enc Pos: 9107 | Revs: 683
[Fast FWD] Enc Pos: 9106 | Revs: 684
[Fast FWD] Enc Pos: 9106 | Revs: 684
[Fast FWD] Enc Pos: 9107 | Revs: 684
[Fast FWD] Enc Pos: 9106 | Revs: 686
[Fast FWD] Enc Pos: 9106 | Revs: 687
[Fast FWD] Enc Pos: 9106 | Revs: 687
[Fast FWD] Enc Pos: 9106 | Revs: 687
[Fast FWD] Enc Pos: 9106 | Revs: 688
[Fast FWD] Enc Pos: 9106 | Revs: 688
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9107 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 689
[Fast FWD] Enc Pos: 9106 | Revs: 690
[Fast FWD] Enc Pos: 9106 | Revs: 690
[Fast FWD] Enc Pos: 9106 | Revs: 690
[Fast FWD] Enc Pos: 9106 | Revs: 690
[Fast FWD] Enc Pos: 9106 | Revs: 690
[Fast FWD] Enc Pos: 9106 | Revs: 690
[Fast FWD] Enc Pos: 9107 | Revs: 690
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9106 | Revs: 691
[Fast FWD] Enc Pos: 9107 | Revs: 691
[Fast FWD] Enc Pos: 9107 | Revs: 692
[Fast FWD] Enc Pos: 9106 | Revs: 694
[Fast FWD] Enc Pos: 9106 | Revs: 694
[Fast FWD] Enc Pos: 9106 | Revs: 694
[Slow BWD] Enc Pos: 9106 | Revs: 694
[Slow BWD] Enc Pos: 9123 | Revs: 697
[Slow BWD] Enc Pos: 9150 | Revs: 701
[Slow BWD] Enc Pos: 9178 | Revs: 707
[Slow BWD] Enc Pos: 9204 | Revs: 708
[Slow BWD] Enc Pos: 9232 | Revs: 721
[Slow BWD] Enc Pos: 9258 | Revs: 726
[Slow BWD] Enc Pos: 9273 | Revs: 730
[Slow BWD] Enc Pos: 9298 | Revs: 746
[Slow BWD] Enc Pos: 9321 | Revs: 763
[Slow BWD] Enc Pos: 9335 | Revs: 781
[Slow BWD] Enc Pos: 9353 | Revs: 814
[Slow BWD] Enc Pos: 9369 | Revs: 828
[Slow BWD] Enc Pos: 9400 | Revs: 832
[Slow BWD] Enc Pos: 9427 | Revs: 834
[Slow BWD] Enc Pos: 9454 | Revs: 839
[Slow BWD] Enc Pos: 9481 | Revs: 851
[Slow BWD] Enc Pos: 9508 | Revs: 851
[Slow BWD] Enc Pos: 9522 | Revs: 867
[Slow BWD] Enc Pos: 9527 | Revs: 876
[Slow BWD] Enc Pos: 9550 | Revs: 882
[Slow BWD] Enc Pos: 9567 | Revs: 888
[Slow BWD] Enc Pos: 9592 | Revs: 889
[Slow BWD] Enc Pos: 9611 | Revs: 890
[Slow BWD] Enc Pos: 9636 | Revs: 891
[Slow BWD] Enc Pos: 9663 | Revs: 891
[Slow BWD] Enc Pos: 9689 | Revs: 893
[Slow BWD] Enc Pos: 9716 | Revs: 903
[Slow BWD] Enc Pos: 9743 | Revs: 908
[Slow BWD] Enc Pos: 9769 | Revs: 908
[Slow BWD] Enc Pos: 9795 | Revs: 918
[Slow BWD] Enc Pos: 9820 | Revs: 925
[Slow BWD] Enc Pos: 9846 | Revs: 925
[Slow BWD] Enc Pos: 9873 | Revs: 927
[Slow BWD] Enc Pos: 9899 | Revs: 930
[Slow BWD] Enc Pos: 9926 | Revs: 941
[Slow BWD] Enc Pos: 9953 | Revs: 942
[Slow BWD] Enc Pos: 9979 | Revs: 947
[Slow BWD] Enc Pos: 10005 | Revs: 950
[Slow BWD] Enc Pos: 10032 | Revs: 950
[Slow BWD] Enc Pos: 10059 | Revs: 950
[Slow BWD] Enc Pos: 10085 | Revs: 955
[Slow BWD] Enc Pos: 10095 | Revs: 969
[Slow BWD] Enc Pos: 10101 | Revs: 980
[Slow BWD] Enc Pos: 10105 | Revs: 994
[Slow BWD] Enc Pos: 10122 | Revs: 1004
[Slow BWD] Enc Pos: 10129 | Revs: 1025
[Slow BWD] Enc Pos: 10133 | Revs: 1047
[Slow BWD] Enc Pos: 10137 | Revs: 1055
[Slow BWD] Enc Pos: 10143 | Revs: 1139
[Slow BWD] Enc Pos: 10159 | Revs: 1199
[Slow BWD] Enc Pos: 10163 | Revs: 1202
[Slow BWD] Enc Pos: 10163 | Revs: 1202
[Slow BWD] Enc Pos: 10179 | Revs: 1205
[Slow BWD] Enc Pos: 10206 | Revs: 1214
[Slow BWD] Enc Pos: 10233 | Revs: 1214
[Slow BWD] Enc Pos: 10249 | Revs: 1220
[Fast BWD] Enc Pos: 10268 | Revs: 1240
[Fast BWD] Enc Pos: 10396 | Revs: 1260
[Fast BWD] Enc Pos: 10481 | Revs: 1278
[Fast BWD] Enc Pos: 10537 | Revs: 1283
[Fast BWD] Enc Pos: 10627 | Revs: 1287
[Fast BWD] Enc Pos: 10692 | Revs: 1294
[Fast BWD] Enc Pos: 10825 | Revs: 1303
[Fast BWD] Enc Pos: 10948 | Revs: 1355
[Fast BWD] Enc Pos: 11082 | Revs: 1382
[Fast BWD] Enc Pos: 11217 | Revs: 1398
[Fast BWD] Enc Pos: 11360 | Revs: 1420
[Fast BWD] Enc Pos: 11477 | Revs: 1434
[Fast BWD] Enc Pos: 11553 | Revs: 1440
[Fast BWD] Enc Pos: 11673 | Revs: 1443
[Fast BWD] Enc Pos: 11807 | Revs: 1443
[Fast BWD] Enc Pos: 11940 | Revs: 1444
[Fast BWD] Enc Pos: 12074 | Revs: 1460
[Fast BWD] Enc Pos: 12209 | Revs: 1461
[Fast BWD] Enc Pos: 12343 | Revs: 1461
[Fast BWD] Enc Pos: 12475 | Revs: 1461
[Fast BWD] Enc Pos: 12606 | Revs: 1479
[Fast BWD] Enc Pos: 12739 | Revs: 1497
[Fast BWD] Enc Pos: 12857 | Revs: 1539
[Fast BWD] Enc Pos: 12914 | Revs: 1559
[Fast BWD] Enc Pos: 13046 | Revs: 1606
[Fast BWD] Enc Pos: 13166 | Revs: 1641
[Fast BWD] Enc Pos: 13199 | Revs: 1643
[Fast BWD] Enc Pos: 13280 | Revs: 1649
[Fast BWD] Enc Pos: 13404 | Revs: 1700
[Fast BWD] Enc Pos: 13536 | Revs: 1711
[Fast BWD] Enc Pos: 13664 | Revs: 1724
[Fast BWD] Enc Pos: 13799 | Revs: 1726
[Fast BWD] Enc Pos: 13942 | Revs: 1728
[Fast BWD] Enc Pos: 14035 | Revs: 1737
[Fast BWD] Enc Pos: 14164 | Revs: 1748
[Fast BWD] Enc Pos: 14282 | Revs: 1761
[Fast BWD] Enc Pos: 14347 | Revs: 1765
[Fast BWD] Enc Pos: 14486 | Revs: 1765
[Fast BWD] Enc Pos: 14559 | Revs: 1775
[Fast BWD] Enc Pos: 14685 | Revs: 1821
[Fast BWD] Enc Pos: 14726 | Revs: 1870
[Fast BWD] Enc Pos: 14739 | Revs: 1893
[Fast BWD] Enc Pos: 14863 | Revs: 2022
[Fast BWD] Enc Pos: 14909 | Revs: 2074
[Fast BWD] Enc Pos: 14941 | Revs: 2094
[Fast BWD] Enc Pos: 14959 | Revs: 2094
[Fast BWD] Enc Pos: 15005 | Revs: 2108
[Fast BWD] Enc Pos: 15005 | Revs: 2108
[Fast BWD] Enc Pos: 15109 | Revs: 2118
[Fast BWD] Enc Pos: 15233 | Revs: 2128
[Fast BWD] Enc Pos: 15367 | Revs: 2134
[Fast BWD] Enc Pos: 15501 | Revs: 2136
[Fast BWD] Enc Pos: 15635 | Revs: 2136
[Fast BWD] Enc Pos: 15760 | Revs: 2139
[Fast BWD] Enc Pos: 15807 | Revs: 2148
[Fast BWD] Enc Pos: 15889 | Revs: 2199
[Slow FWD] Enc Pos: 15914 | Revs: 2245
[Slow FWD] Enc Pos: 15916 | Revs: 2252
[Slow FWD] Enc Pos: 15916 | Revs: 2255
[Slow FWD] Enc Pos: 15916 | Revs: 2257
[Slow FWD] Enc Pos: 15914 | Revs: 2289
[Slow FWD] Enc Pos: 15914 | Revs: 2314
[Slow FWD] Enc Pos: 15914 | Revs: 2314
[Slow FWD] Enc Pos: 15914 | Revs: 2316
[Slow FWD] Enc Pos: 15915 | Revs: 2330
[Slow FWD] Enc Pos: 15914 | Revs: 2349
[Slow FWD] Enc Pos: 15914 | Revs: 2365
[Slow FWD] Enc Pos: 15914 | Revs: 2365
[Slow FWD] Enc Pos: 15914 | Revs: 2365
[Slow FWD] Enc Pos: 15914 | Revs: 2376
[Slow FWD] Enc Pos: 15914 | Revs: 2376
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15915 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 +-----------------------------+
[Slow FWD] Enc Pos: 15914 |                             |
[Slow FWD] Enc Pos: 15914 |  Cannot open /dev/ttyACM0!  |
[Slow FWD] Enc Pos: 15914 |                             |
[Slow FWD] Enc Pos: 15914 +-----------------------------+
[Slow FWD] Enc Pos: 15915 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15915 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15915 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2377
[Slow FWD] Enc Pos: 15914 | Revs: 2379
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Slow FWD] Enc Pos: 15914 | Revs: 2380
[Fast FWD] Enc Pos: 15914 | Revs: 2380
[Fast FWD] Enc Pos: 15914 | Revs: 2380
[Fast FWD] Enc Pos: 15914 | Revs: 2380
[Fast FWD] Enc Pos: 15914 | Revs: 2380
[Fast FWD] Enc Pos: 15914 | Revs: 2380
[Fast FWD] Enc Pos: 15914 | Revs: 2380
[Fast FWD] Enc Pos: 15914 | Revs: 2380
