Step: 41 | Current: 31
Dist: 9.8 cm | Target Step: 10 | Current: 41
Dist: 9.5 cm | Target Step: 35 | Current: 10
Dist: 9.0 cm | Target Step: 42 | Current: 35
Dist: 10.1 cm | Target Step: -3 | Current: 42
Dist: 9.7 cm | Target Step: 36 | Current: -3
Dist: 10.1 cm | Target Step: 14 | Current: 36
Dist: 9.3 cm | Target Step: 48 | Current: 14
Dist: 10.1 cm | Target Step: 4 | Current: 48
Dist: 9.7 cm | Target Step: 36 | Current: 4
Dist: 9.5 cm | Target Step: 32 | Current: 36
Dist: 9.8 cm | Target Step: 18 | Current: 32
Dist: 8.9 cm | Target Step: 53 | Current: 18
Dist: 9.4 cm | Target Step: 15 | Current: 53
Dist: 10.0 cm | Target Step: 9 | Current: 15
Dist: 9.1 cm | Target Step: 51 | Current: 9
Dist: 9.1 cm | Target Step: 29 | Current: 51
Dist: 9.5 cm | Target Step: 17 | Current: 29
Dist: 10.0 cm | Target Step: 12 | Current: 17
Dist: 9.9 cm | Target Step: 28 | Current: 12
Dist: 9.6 cm | Target Step: 34 | Current: 28
Dist: 9.9 cm | Target Step: 18 | Current: 34
Dist: 10.3 cm | Target Step: 13 | Current: 18
Dist: 9.4 cm | Target Step: 50 | Current: 13
Dist: 9.9 cm | Target Step: 13 | Current: 50
Dist: 9.1 cm | Target Step: 49 | Current: 13
Dist: 10.2 cm | Target Step: -3 | Current: 49
Dist: 8.9 cm | Target Step: 63 | Current: -3
Dist: 10.2 cm | Target Step: -8 | Current: 63
Dist: 9.0 cm | Target Step: 59 | Current: -8
Dist: 10.0 cm | Target Step: 0 | Current: 59
Dist: 10.9 cm | Target Step: -1 | Current: 0
Dist: 11.3 cm | Target Step: 8 | Current: -1
Dist: 12.0 cm | Target Step: -2 | Current: 8
Dist: 11.9 cm | Target Step: 18 | Current: -2
Dist: 11.9 cm | Target Step: 15 | Current: 18
Dist: 12.4 cm | Target Step: 0 | Current: 15
Dist: 12.0 cm | Target Step: 24 | Current: 0
Dist: 12.0 cm | Target Step: 15 | Current: 24
Dist: 12.1 cm | Target Step: 11 | Current: 15
Dist: 10.8 cm | Target Step: 53 | Current: 11
Dist: 11.5 cm | Target Step: 0 | Current: 53
Dist: 11.0 cm | Target Step: 32 | Current: 0
Dist: 11.4 cm | Target Step: 8 | Current: 32
Dist: 11.4 cm | Target Step: 18 | Current: 8
Dist: 12.2 cm | Target Step: -6 | Current: 18
Dist: 12.4 cm | Target Step: 8 | Current: -6
Dist: 12.0 cm | Target Step: 24 | Current: 8
Dist: 11.1 cm | Target Step: 41 | Current: 24
Dist: 11.2 cm | Target Step: 16 | Current: 41
Dist: 11.7 cm | Target Step: 4 | Current: 16
Dist: 11.3 cm | Target Step: 28 | Current: 4
Dist: 9.9 cm | Target Step: 60 | Current: 28
Dist: 12.1 cm | Target Step: -40 | Current: 60
Dist: 10.9 cm | Target Step: 50 | Current: -40
Dist: 10.0 cm | Target Step: 47 | Current: 50
Dist: 10.5 cm | Target Step: 10 | Current: 47
Dist: 10.0 cm | Target Step: 37 | Current: 10
Dist: 11.2 cm | Target Step: -10 | Current: 37
Dist: 10.5 cm | Target Step: 39 | Current: -10
Dist: 10.0 cm | Target Step: 37 | Current: 39
Dist: 9.6 cm | Target Step: 36 | Current: 37
Dist: 9.9 cm | Target Step: 18 | Current: 36
Dist: 10.0 cm | Target Step: 22 | Current: 18
Dist: 9.6 cm | Target Step: 36 | Current: 22
Dist: 10.0 cm | Target Step: 15 | Current: 36
Dist: 9.4 cm | Target Step: 43 | Current: 15
Dist: 10.0 cm | Target Step: 9 | Current: 43
Dist: 10.7 cm | Target Step: 4 | Current: 9
Dist: 9.7 cm | Target Step: 51 | Current: 4
Dist: 9.7 cm | Target Step: 26 | Current: 51
Dist: 9.9 cm | Target Step: 20 | Current: 26
Dist: 9.4 cm | Target Step: 40 | Current: 20
Dist: 10.4 cm | Target Step: -1 | Current: 40
Dist: 10.2 cm | Target Step: 28 | Current: -1
Dist: 8.9 cm | Target Step: 63 | Current: 28
Dist: 9.7 cm | Target Step: 6 | Current: 63
Dist: 8.8 cm | Target Step: 53 | Current: 6
Dist: 9.9 cm | Target Step: -1 | Current: 53
Dist: 10.2 cm | Target Step: 16 | Current: -1
Dist: 10.5 cm | Target Step: 14 | Current: 16
Dist: 10.4 cm | Target Step: 25 | Current: 14
Dist: 11.0 cm | Target Step: 4 | Current: 25
Dist: 9.8 cm | Target Step: 55 | Current: 4
Dist: 9.4 cm | Target Step: 38 | Current: 55
Dist: 10.0 cm | Target Step: 9 | Current: 38
Dist: 10.3 cm | Target Step: 15 | Current: 9
Dist: 10.4 cm | Target Step: 20 | Current: 15
Dist: 10.5 cm | Target Step: 19 | Current: 20
Dist: 10.8 cm | Target Step: 13 | Current: 19
Dist: 10.4 cm | Target Step: 33 | Current: 13
Dist: 10.4 cm | Target Step: 23 | Current: 33
Dist: 10.0 cm | Target Step: 34 | Current: 23
Dist: 9.8 cm | Target Step: 30 | Current: 34
Dist: 10.3 cm | Target Step: 11 | Current: 30
Dist: 10.8 cm | Target Step: 8 | Current: 11
Dist: 11.1 cm | Target Step: 11 | Current: 8
Dist: 10.0 cm | Target Step: 52 | Current: 11
Dist: 11.6 cm | Target Step: -23 | Current: 52
Dist: 10.9 cm | Target Step: 38 | Current: -23
Dist: 11.8 cm | Target Step: -6 | Current: 38
Dist: 12.0 cm | Target Step: 10 | Current: -6
Dist: 11.4 cm | Target Step: 33 | Current: 10
Dist: 11.8 cm | Target Step: 5 | Current: 33
Dist: 11.1 cm | Target Step: 36 | Current: 5
Dist: 12.0 cm | Target Step: -7 | Current: 36
Dist: 11.0 cm | Target Step: 45 | Current: -7
Dist: 11.5 cm | Target Step: 5 | Current: 45
Dist: 11.0 cm | Target Step: 32 | Current: 5
Dist: 11.3 cm | Target Step: 10 | Current: 32
Dist: 10.7 cm | Target Step: 36 | Current: 10
Dist: 11.7 cm | Target Step: -8 | Current: 36
Dist: 11.4 cm | Target Step: 25 | Current: -8
Dist: 11.0 cm | Target Step: 29 | Current: 25
Dist: 11.4 cm | Target Step: 8 | Current: 29
Dist: 11.0 cm | Target Step: 29 | Current: 8
Dist: 11.2 cm | Target Step: 14 | Current: 29
Dist: 11.5 cm | Target Step: 9 | Current: 14
Dist: 11.5 cm | Target Step: 17 | Current: 9
Dist: 12.5 cm | Target Step: -12 | Current: 17
Dist: 11.8 cm | Target Step: 33 | Current: -12
Dist: 12.1 cm | Target Step: 6 | Current: 33
Dist: 11.4 cm | Target Step: 35 | Current: 6
Dist: 11.8 cm | Target Step: 5 | Current: 35
Dist: 12.4 cm | Target Step: -1 | Current: 5
Dist: 12.1 cm | Target Step: 21 | Current: -1
Dist: 12.0 cm | Target Step: 17 | Current: 21
Dist: 12.9 cm | Target Step: -11 | Current: 17
Dist: 11.8 cm | Target Step: 43 | Current: -11
Dist: 11.1 cm | Target Step: 36 | Current: 43
Dist: 11.9 cm | Target Step: -4 | Current: 36
Dist: 12.0 cm | Target Step: 12 | Current: -4
Dist: 12.6 cm | Target Step: -3 | Current: 12                    +-----------------------------+
Dist: 11.6 cm | Target Step: 42 | Current: -3                    |                             |
Dist: 12.1 cm | Target Step: 1 | Current: 42                     |  Cannot open /dev/ttyACM0!  |
Dist: 11.3 cm | Target Step: 38 | Current: 1                     |                             |
Dist: 11.5 cm | Target Step: 12 | Current: 38                    +-----------------------------+
Dist: 11.4 cm | Target Step: 20 | Current: 12
Dist: 12.0 cm | Target Step: 0 | Current: 20
Dist: 11.7 cm | Target Step: 24 | Current: 0
Dist: 11.5 cm | Target Step: 22 | Current: 24
Dist: 11.2 cm | Target Step: 26 | Current: 22
Dist: 12.0 cm | Target Step: -5 | Current: 26
Dist: 11.1 cm | Target Step: 41 | Current: -5
Dist: 10.8 cm | Target Step: 28 | Current: 41
Dist: 11.2 cm | Target Step: 9 | Current: 28
Dist: 11.2 cm | Target Step: 19 | Current: 9
Dist: 12.6 cm | Target Step: -23 | Current: 19
Dist: 11.1 cm | Target Step: 57 | Current: -23
Dist: 11.0 cm | Target Step: 22 | Current: 57
Dist: 11.2 cm | Target Step: 14 | Current: 22
Dist: 12.2 cm | Target Step: -10 | Current: 14
Dist: 10.5 cm | Target Step: 65 | Current: -10
Dist: 10.5 cm | Target Step: 22 | Current: 65
Dist: 11.6 cm | Target Step: -10 | Current: 22
Dist: 12.2 cm | Target Step: 0 | Current: -10
Dist: 10.9 cm | Target Step: 53 | Current: 0
Dist: 11.2 cm | Target Step: 11 | Current: 53
Dist: 12.0 cm | Target Step: -5 | Current: 11
Dist: 11.0 cm | Target Step: 45 | Current: -5
Dist: 11.6 cm | Target Step: 1 | Current: 45
Dist: 10.5 cm | Target Step: 50 | Current: 1
Dist: 11.0 cm | Target Step: 7 | Current: 50
